GUID f6408b18f74a444484dda7655ac1d70d
Type Magazine
Rarity Uncommon
ID 11181

Master_Bundle_Override oldiefirearm.masterbundle
Bundle_Override_Path /m1garand_magazine

Size_X 1
Size_Y 1
Size_Z 0.18

Amount 8
Count_Min 4
Count_Max 8

Calibers 1
Caliber_0 51515

Tracer 55

Blueprints 6
Blueprint_0_Type Ammo
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 11558
Blueprint_0_Build 30
Blueprint_1_Type Ammo
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 11539
Blueprint_1_Build 30
Blueprint_2_Type Ammo
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID 11540
Blueprint_2_Build 30
Blueprint_3_Type Ammo
Blueprint_3_Supplies 1
Blueprint_3_Supply_0_ID 11545
Blueprint_3_Build 30
Blueprint_3_Type Ammo
Blueprint_3_Supplies 1
Blueprint_3_Supply_0_ID 11546
Blueprint_3_Build 30
Blueprint_4_Type Ammo
Blueprint_4_Supplies 1
Blueprint_4_Supply_0_ID 11181
Blueprint_4_Build 30
Blueprint_5_Type Ammo
Blueprint_5_Supplies 1
Blueprint_5_Supply_0_ID 10911
Blueprint_5_Build 30
