GUID 569e93b20c7e41d59bde67b2905219de
Type Magazine
Rarity Rare
ID 11508

Size_X 1
Size_Y 2
Size_Z 0.3

Amount 40
Count_Min 15
Count_Max 40

Calibers 1
Caliber_0 11507

Tracer 48

Blueprints 5

Blueprint_0_Type Ammo
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 11500
Blueprint_0_Build 30

Blueprint_1_Type Ammo
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 11502
Blueprint_1_Build 30

Blueprint_2_Type Ammo
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID 11504
Blueprint_2_Build 30

Blueprint_3_Type Ammo
Blueprint_3_Supplies 1
Blueprint_3_Supply_0_ID 11507
Blueprint_3_Build 30

Blueprint_4_Type Ammo
Blueprint_4_Supplies 1
Blueprint_4_Supply_0_ID 11508
Blueprint_4_Build 30

Exclude_From_Master_Bundle
